,contexts,question,answer,ground_truth
41," Brahmanda Purana, Book , Chapter , verse  - Meru is the foremost and the greatest of all mountains It has been firmly implanted as the axis of the universe",  Describe the story of Lord Shiva's Tripurantaka form in the Brahmanda Purana, Lord Shiva assumes the Tripurantaka form to destroy the three demon cities (Tripuras) and restore cosmic order, Lord Shiva assumes the Tripurantaka form to destroy the three demon cities (Tripuras) and restore cosmic order
42," Brahmanda Purana, Book , Chapter , verse  - Then Śiva, the lord of the universe, and the bestower of happiness, destroyed the Tripuras along with their kings",  Name the celestial weapon obtained by Lord Krishna with Lord Vishnu's blessings in the Brahmanda Purana, The celestial weapon is called the Kaumodaki, The celestial weapon is called the Kaumodaki
43," Brahmanda Purana, Book , Chapter , verse  - The great-armed one has a club (Kaumodaki) that is very terrible",  Explain the concept of Maya (illusion) as depicted in the, Maya refers to the cosmic illusion that veils one's true nature and binds them to the material world, Maya refers to the cosmic illusion that veils one's true nature and binds them to the material world
44," Brahmanda Purana, Book , Chapter , verse  - O king, Māyā is the great power of Hari By means of that power, the world and the eternal soul are concealed",  Name the celestial weapon associated with Goddess Kali in the Brahmanda Purana, The celestial weapon is called the Shula (trident), The celestial weapon is called the Shula (trident)
45," Brahmanda Purana, Book , Chapter , verse  - She possessed the trident (Śūla), the noose (Pāśa), the shield (Khadga), the bell (Ghaṇṭā), and the axe (Parigha)",  Describe the story of Lord Shiva's Dakshinamurthy form in the Brahmanda Purana," Lord Shiva assumes the form of Dakshinamurthy, the divine teacher, who imparts knowledge and wisdom to his disciples in silence"," Lord Shiva assumes the form of Dakshinamurthy, the divine teacher, who imparts knowledge and wisdom to his disciples in silence"
46," Brahmanda Purana, Book , Chapter , verse - - He is the great lord, the cause of everything, the creator of the world He has assumed the excellent form of Dakṣiṇāmūrti",  Name the celestial weapon associated with Goddess Parvati in the Brahmanda Purana, The celestial weapon is called the Pashupatastra, The celestial weapon is called the Pashupatastra
47," Brahmanda Purana, Book , Chapter , verse  - He gave Pāśupata to Pārvatī It is a weapon that is difficult to obtain and is matchless in the three worlds",  Explain the concept of Moksha (liberation) as depicted in the Brahmanda Purana," Moksha refers to the ultimate liberation from the cycle of birth and death, attaining union with the divine and eternal bliss"," Moksha refers to the ultimate liberation from the cycle of birth and death, attaining union with the divine and eternal bliss"
48," Brahmanda Purana, Book , Chapter , verse  - All the paths in the world lead to the attainment of salvation The one who gains salvation is never subject to birth again",  Name the celestial bird associated with Goddess Saraswati in the Brahmanda Purana, The celestial bird is called Hamsa (swan), The celestial bird is called Hamsa (swan)
49," Brahmanda Purana, Book , Chapter , verse  - Hamsa is the vehicle of Sarasvatī, the goddess of speech",  Explain the concept of Lila (divine play) as depicted in the Brahmanda Purana," Lila refers to the divine play and manifestations of the gods and goddesses in various forms and activities, showcasing their divine powers and grace"," Lila refers to the divine play and manifestations of the gods and goddesses in various forms and activities, showcasing their divine powers and grace"
50," Brahmanda Purana, Book , Chapter , verse  - The eternal Lord performs His divine play, which is known as Līlā",  Name the sage who attained immortality through severe penance in the Brahmanda Purana, The sage's name was Markandeya, The sage's name was Markandeya
51," Brahmanda Purana, Book , Chapter , verse  - Markaṇḍeya became immortal through the power of his Tapas",  Describe the story of the churning of the milk ocean (Kshir Sagar Manthan) in the Brahmanda Purana," Devas (celestial beings) and Asuras (demons) join forces to churn the milk ocean, leading to the emergence of divine treasures, including the elixir of immortality"," Devas (celestial beings) and Asuras (demons) join forces to churn the milk ocean, leading to the emergence of divine treasures, including the elixir of immortality"
52," Brahmanda Purana, Book , Chapter , verse - - The gods and the demons churned the ocean of milk with great enthusiasm They churned it for a thousand years",  What is the significance of the sacred river Tungabhadra in the Brahmanda Purana?," The Tungabhadra River is considered a sacred river associated with purification, spiritual merit, and divine blessings"," The Tungabhadra River is considered a sacred river associated with purification, spiritual merit, and divine blessings"
53," Brahmanda Purana, Book , Chapter , verse  - The sacred river Tungabhadra is capable of purifying everyone, including the sages",  Explain the concept of Avatars (incarnations) as depicted in the Brahmanda Purana," Avatars refer to the divine incarnations of gods and goddesses, who descend on Earth to restore righteousness, protect devotees, and uplift humanity"," Avatars refer to the divine incarnations of gods and goddesses, who descend on Earth to restore righteousness, protect devotees, and uplift humanity"
54," Brahmanda Purana, Book , Chapter , verse  - O great sage, listen to the divine incarnations (Avatāras) of the eternal one that are for the protection of the world",  Name the celestial weapon obtained by Lord Rama with Lord Vishnu's blessings in the Brahmanda Purana, The celestial weapon is called the Brahmastra, The celestial weapon is called the Brahmastra
55," Brahmanda Purana, Book , Chapter , verse  - Rāma, the destroyer of the ten-headed Rāvaṇa, discharged the Brahmāstra at Rāvaṇa",  Describe the story of the celestial city of Ayodhya in the Brahmanda Purana," Ayodhya is the glorious celestial city ruled by Lord Rama, known for its divine splendor, righteous governance, and harmonious living"," Ayodhya is the glorious celestial city ruled by Lord Rama, known for its divine splendor, righteous governance, and harmonious living"
56," Brahmanda Purana, Book , Chapter , verse - - It was in the city of Ayodhyā, ruled by Daśaratha, that Rāma, the great lord, appeared on Earth",  What is the significance of the sacred river Kaveri in the Brahmanda Purana?," The Kaveri River is considered a sacred river associated with purity, spirituality, and divine blessings"," The Kaveri River is considered a sacred river associated with purity, spirituality, and divine blessings"
57," Brahmanda Purana, Book , Chapter , verse  - Taking a bath in the sacred Kāverī is equal to the fruits of performing a hundred horse-sacrifices",  Explain the concept of Gunas (modes of nature) as depicted in the Brahmanda Purana," Gunas refer to the three fundamental qualities of nature - Sattva (purity), Rajas (activity), and Tamas (inertia), which influence the thoughts, actions, and behavior of individuals"," Gunas refer to the three fundamental qualities of nature - Sattva (purity), Rajas (activity), and Tamas (inertia), which influence the thoughts, actions, and behavior of individuals"
58," Brahmanda Purana, Book , Chapter , verse  - The three Gunas - Sattva, Rajas, and Tamas - born of Prakṛti, delude all living beings",  Name the celestial weapon associated with Lord Brahma in the Brahmanda Purana, The celestial weapon, The celestial weapon
59," Brahmanda Purana, Book , Chapter , verse  - Brahmā, the lord of gods, had received the divine missile known as Brahmāstra",  Describe the story of the celestial city of Dwarka in the Brahmanda Purana," Dwarka is the divine city ruled by Lord Krishna, known for its opulence, grandeur, and divine presence"," Dwarka is the divine city ruled by Lord Krishna, known for its opulence, grandeur, and divine presence"
60," Brahmanda Purana, Book , Chapter , verse  - In the city of Dvārakā, ruled by Vasudeva, Kṛṣṇa, the wielder of the Śārṅga bow, appeared on Earth",  Describe the story of Lord Shiva's Nataraja form in the Brahmanda Purana," Lord Shiva assumes the form of Nataraja, the cosmic dancer, who symbolizes the eternal rhythm of creation, preservation, and destruction"," Lord Shiva assumes the form of Nataraja, the cosmic dancer, who symbolizes the eternal rhythm of creation, preservation, and destruction"
61," Brahmanda Purana, Book , Chapter , verse - - He has assumed the form of the great lord Natarāja He dances skillfully in the assembly of gods The moon rests on his head and a snake adorns his waist",  Name the celestial weapon associated with Goddess Durga in the Brahmanda Purana, The celestial weapon is called the Chakra (discus), The celestial weapon is called the Chakra (discus)
62," Brahmanda Purana, Book , Chapter , verse  - She possessed the discus (Cakra), the conch (Śaṅkha), the sword (Khadga), the shield (Kavaca), the bow (Dhanus), and the arrows (Bāṇa)",  Explain the concept of Bhakti (devotion) as depicted in the Brahmanda Purana," Bhakti refers to the intense devotion, love, and surrender towards the divine, leading to union with the supreme reality"," Bhakti refers to the intense devotion, love, and surrender towards the divine, leading to union with the supreme reality"
63," Brahmanda Purana, Book , Chapter , verse  - By means of Bhakti alone can the eternal one be attained By means of Bhakti alone can one attain the supreme goal",  Name the celestial bird associated with Lord Vishnu in the Brahmanda Purana, The celestial bird is called Garuda, The celestial bird is called Garuda
64," Brahmanda Purana, Book , Chapter , verse  - The great Garuḍa, the destroyer of all sins, is Viṣṇu’s vehicle",  Explain the concept of Loka (cosmic realm) as depicted in the Brahmanda Purana," Loka refers to the various realms or planes of existence within the universe, inhabited by different beings and presided over by different deities"," Loka refers to the various realms or planes of existence within the universe, inhabited by different beings and presided over by different deities"
65," Brahmanda Purana, Book , Chapter , verse - - There are seven spheres above the earth and seven below it All these spheres are the abodes of living beings",  Name the demon king who performed intense penance to please Lord Shiva in the Brahmanda Purana, The demon king's name was Bhasmasura, The demon king's name was Bhasmasura
66," Brahmanda Purana, Book , Chapter , verse  - Bhasmasura, who was born from Śiva’s head, performed severe austerities to please Śiva",  Describe the story of Lord Vishnu's Kurma avatar (tortoise incarnation) in the Brahmanda Purana, Lord Vishnu takes the form of a giant tortoise (Kurma) to support the churning rod and assist in the churning of the cosmic ocean, Lord Vishnu takes the form of a giant tortoise (Kurma) to support the churning rod and assist in the churning of the cosmic ocean
67," Brahmanda Purana, Book , Chapter , verse - - Then Viṣṇu, the foremost of gods, became a tortoise and placed Himself under the rod He became steady like a mountain",  What is the significance of the sacred river Sindhu (Indus) in the Brahmanda Purana?," The Sindhu River is considered a sacred river associated with purity, fertility, and divine blessings"," The Sindhu River is considered a sacred river associated with purity, fertility, and divine blessings"
68," Brahmanda Purana, Book , Chapter , verse  - By performing austerities on the banks of the Sindhu, sages have attained salvation",  Explain the concept of Atman (the eternal self) as depicted in the Brahmanda Purana," Atman refers to the ultimate reality, the eternal self, which is identical to the supreme consciousness or Brahman"," Atman refers to the ultimate reality, the eternal self, which is identical to the supreme consciousness or Brahman"
69," Brahmanda Purana, Book , Chapter , verse  - The self (Ātman) is eternal, all-pervading, and indestructible",  Name the sage who compiled the Brahmanda Purana in its current form, The sage's name was Vyasa, The sage's name was Vyasa
70," Brahmanda Purana, Introduction section - The great sage Vyāsa, who is the foremost among the knowers of the Vedas, compiled the Brahmanda Purāṇa",  What is the significance of the sacred Mount Kailash in the Brahmanda Purana?," Mount Kailash is considered a sacred mountain believed to be the abode of Lord Shiva and Goddess Parvati, and a place of pilgrimage for spiritual seekers"," Mount Kailash is considered a sacred mountain believed to be the abode of Lord Shiva and Goddess Parvati, and a place of pilgrimage for spiritual seekers"
71," Brahmanda Purana, Book , Chapter , verse  - The mountain peak of Kailāsa is the abode of Śiva, the lord of gods",  Describe the story of Lord Shiva's Bhairava form in the Brahmanda Purana," Lord Shiva assumes the fierce and terrifying form of Bhairava, representing his wrathful aspect and annihilator of evil forces"," Lord Shiva assumes the fierce and terrifying form of Bhairava, representing his wrathful aspect and annihilator of evil forces"
72," Brahmanda Purana, Book , Chapter , verse  - Śiva, the annihilator of enemies, assumed the form of Bhairava",  Name the celestial weapon obtained by Lord Krishna with Lord Vishnu's blessings in the Brahmanda Purana, The celestial weapon is called the Sudarshana Chakra, The celestial weapon is called the Sudarshana Chakra
73," Brahmanda Purana, Book , Chapter , verse  - The great-armed one has a discus (Sudarśana) that is very terrible",  Explain the concept of Maya (illusion) as depicted in the Brahmanda Purana," Maya refers to the cosmic illusion that veils the true nature of reality, causing beings to perceive the world as separate from the divine"," Maya refers to the cosmic illusion that veils the true nature of reality, causing beings to perceive the world as separate from the divine"
74," Brahmanda Purana, Book , Chapter , verse  - Maya, the illusory power, covers the world with names and forms, deluding people",  Name the sage who received divine knowledge from Lord Brahma in the Brahmanda Purana, The sage's name was Sanatkumara, The sage's name was Sanatkumara
75," Brahmanda Purana, Book , Chapter , verse  - Brahmā narrated the Purāṇas to Sanatkumāra, the eldest of the eternal sons",  Describe the story of Lord Shiva's Rudra form in the Brahmanda Purana," Lord Shiva assumes the fierce and destructive form of Rudra, embodying the power of transformation and dissolution"," Lord Shiva assumes the fierce and destructive form of Rudra, embodying the power of transformation and dissolution"
76," Brahmanda Purana, Book , Chapter , verse  - He has assumed the form of the great lord Rudra, who destroys all living beings at the time of dissolution",  Name the celestial weapon associated with Lord Indra in the Brahmanda Purana, The celestial weapon is called the Vajra (thunderbolt), The celestial weapon is called the Vajra (thunderbolt)
77," Brahmanda Purana, Book , Chapter , verse  - He possessed the thunderbolt (Vajra), the noose (Pāśa), the bow (Dhanus), the discus (Cakra), the club (Gadā), and the spear (Śūla)",  Explain the concept of Karma (action and consequence) as depicted in the Brahmanda Purana," Karma refers to the law of cause and effect, where one's actions determine their future experiences and destiny"," Karma refers to the law of cause and effect, where one's actions determine their future experiences and destiny"
78," Brahmanda Purana, Book , Chapter , verse  - As people sow, so shall they reap The soul obtains the results of its actions in accordance with the law of Karma",  Name the celestial bird associated with Lord Agni in the Brahmanda Purana, The celestial bird is called the Suparna (eagle), The celestial bird is called the Suparna (eagle)
79," Brahmanda Purana, Book , Chapter , verse  - The eater of oblations, Agni, has the eagle (Suparṇa) as his vehicle",  Explain the concept of Samskara (rites and rituals) as depicted in the Brahmanda Purana," Samskara refers to the various rites, rituals, and sacraments performed to purify and sanctify individuals at different stages of life"," Samskara refers to the various rites, rituals, and sacraments performed to purify and sanctify individuals at different stages of life"
80," Brahmanda Purana, Book , Chapter , verse  - By means of the sacraments (Samskāras), the people are purified and led to higher worlds",  Name the demon king who challenged Lord Rama in the Brahmanda Purana, The demon king's name was Ravana, The demon king's name was Ravana
81," Brahmanda Purana, Book , Chapter , verse  - He discharged the Brahmāstra at Rāvaṇa, who was a match for the three worlds",  Describe the story of the celestial city of Amaravati in the Brahmanda Purana," Amaravati is the divine city ruled by Lord Indra, known for its celestial beauty, divine palaces, and heavenly inhabitants"," Amaravati is the divine city ruled by Lord Indra, known for its celestial beauty, divine palaces, and heavenly inhabitants"
